"","Kingdom","Supergroup","Division","Class","Order","Family","Genus","Species"
"ASVf292","Eukaryota","Stramenopiles","Ochrophyta","Chrysophyceae","Chrysophyceae_X","Chrysophyceae_Clade-B2","Chrysosphaerella","Genus_Chrysosphaerella"
"ASVf304","Eukaryota","Rhizaria","Cercozoa","Endomyxa","Vampyrellida","Vampyrellidae","Vampyrella","Vampyrella_pendula"
"ASVf310","Eukaryota","Opisthokonta","Fungi","Ascomycota","Saccharomycotina","Saccharomycetales","Candida","Candida_wounanorum"
"ASVf312","Eukaryota","Stramenopiles","Sagenista","Labyrinthulomycetes","Thraustochytriales","Thraustochytriaceae","Thraustochytriaceae_X","Thraustochytriaceae_X_sp."
"ASVf319","Eukaryota","Stramenopiles","Ochrophyta","Chrysophyceae","Chrysophyceae_X","Chrysophyceae_Clade-C","Chromulinospumella","Chromulinospumella_sphaerica"
"ASVf322","Eukaryota","Stramenopiles","Ochrophyta","Chrysophyceae","Chrysophyceae_X","Chrysophyceae_Clade-E","Chrysophyceae_Clade-E_X","Chrysophyceae_Clade-E_X_sp."
"ASVf330","Eukaryota","Opisthokonta","Fungi","Blastocladiomycota","Blastocladiomycotina","Blastocladiomycetes","Catenaria","Catenaria_anguillulae"
"ASVf333","Eukaryota","Archaeplastida","Streptophyta","Embryophyceae","Embryophyceae_X","Embryophyceae_XX","Camellia","Camellia_sinensis"
"ASVf339","Eukaryota","Opisthokonta","Fungi","Basidiomycota","Agaricomycotina","Tremellomycetes","Cryptococcus","Cryptococcus_carnescens"
"ASVf340","Eukaryota","Opisthokonta","Fungi","Chytridiomycota","Chytridiomycotina","Chytridiomycetes","Rhizidium","Rhizidium_sp."
"ASVf342","Eukaryota","Alveolata","Ciliophora","CONTH_4","CONTH_4_X","CONTH_4_XX","CONTH_4_XXX","CONTH_4_XXX_sp."
"ASVf343","Eukaryota","Opisthokonta","Metazoa","Rotifera","Rotifera_X","Rotifera_XX","Keratella","Keratella_quadrata"
"ASVf361","Eukaryota","Stramenopiles","Ochrophyta","Chrysophyceae","Chrysophyceae_X","Chrysophyceae_Clade-F","Paraphysomonas","Paraphysomonas_sp."
"ASVf371","Eukaryota","Archaeplastida","Streptophyta","Embryophyceae","Embryophyceae_X","Embryophyceae_XX","Persea","Persea_americana"
"ASVf397","Eukaryota","Archaeplastida","Chlorophyta","Mamiellophyceae","Dolichomastigales","Crustomastigaceae","Crustomastigaceae-AB","Crustomastigaceae-AB_sp."
"ASVf406","Eukaryota","Opisthokonta","Fungi","Chytridiomycota","Chytridiomycotina","Chytridiomycetes","Rhyzophidiales_X","Rhyzophidiales_X_sp."
"ASVf407","Eukaryota","Opisthokonta","Metazoa","Rotifera","Rotifera_X","Rotifera_XX","Testudinella","Genus_Testudinella"
"ASVf410","Eukaryota","Rhizaria","Foraminifera","Division_Foraminifera","Division_Foraminifera","Division_Foraminifera","Division_Foraminifera","Division_Foraminifera"
"ASVf417","Eukaryota","Stramenopiles","Ochrophyta","Dictyochophyceae","Dictyochophyceae_X","Pedinellales","Pedinellales_X","Pedinellales_X_sp."
"ASVf425","Eukaryota","Opisthokonta","Fungi","Entomophthoromycota","Entomophthoromycotina","Entomophthorales","Basidiobolus","Basidiobolus_sp."
"ASVf432","Eukaryota","Rhizaria","Cercozoa","Filosa-Sarcomonadea","Pansomonadida","Agitatidae","Agitatidae_X","Agitatidae_X_sp."
"ASVf469","Eukaryota","Alveolata","Ciliophora","Spirotrichea","Tintinnida","Tintinnidiidae","Tintinnidium","Tintinnidium_fluviatile"
"ASVf505","Eukaryota","Archaeplastida","Chlorophyta","Trebouxiophyceae","Trebouxiophyceae_X","Trebouxiophyceae_XX","Botryococcus","Botryococcus_terribilis"
"ASVf516","Eukaryota","Alveolata","Ciliophora","Litostomatea","Litostomatea_X","Litostomatea_XX","Litostomatea_XXX","Litostomatea_XXX_sp."
"ASVf517","Eukaryota","Stramenopiles","Ochrophyta","Chrysophyceae","Chrysophyceae_X","Chrysophyceae_Clade-B2","Family_Chrysophyceae_Clade-B2","Family_Chrysophyceae_Clade-B2"
"ASVf534","Eukaryota","Opisthokonta","Metazoa","Rotifera","Rotifera_X","Rotifera_XX","Synchaeta","Synchaeta_tremula/oblonga"
"ASVf540","Eukaryota","Opisthokonta","Fungi","Ascomycota","Pezizomycotina","Dothideomycetes","Cladosporium","Cladosporium_sp."
"ASVf554","Eukaryota","Stramenopiles","Ochrophyta","Synurophyceae","Synurales","Synurales_X","Family_Synurales_X","Family_Synurales_X"
"ASVf556","Eukaryota","Opisthokonta","Metazoa","Arthropoda","Crustacea","Maxillopoda","Family_Maxillopoda","Family_Maxillopoda"
"ASVf557","Eukaryota","Archaeplastida","Chlorophyta","Ulvophyceae","Ulotrichales","Ulotrichales_X","Trichosarcina","Trichosarcina_mucosa"
"ASVf561","Eukaryota","Excavata","Discoba","Euglenozoa","Class_Euglenozoa","Class_Euglenozoa","Class_Euglenozoa","Class_Euglenozoa"
"ASVf599","Eukaryota","Opisthokonta","Fungi","Division_Fungi","Division_Fungi","Division_Fungi","Division_Fungi","Division_Fungi"
"ASVf613","Eukaryota","Hacrobia","Centroheliozoa","Centroheliozoa_X","Centroheliozoa_XX","Centroheliozoa_XXX","Centroheliozoa_XXXX","Centroheliozoa_XXXX_sp."
"ASVf620","Eukaryota","Stramenopiles","Sagenista","Labyrinthulomycetes","Thraustochytriales","Thraustochytriaceae","Amphifilidae","Amphifilidae_sp."
"ASVf629","Eukaryota","Alveolata","Ciliophora","CONThreeP","CONThreeP_X","Urotrichidae","Urotricha","Urotricha_sp."
"ASVf630","Eukaryota","Archaeplastida","Chlorophyta","Trebouxiophyceae","Microthamniales","Microthamniales_X","Trebouxia","Trebouxia_sp."
"ASVf660","Eukaryota","Stramenopiles","Ochrophyta","Synurophyceae","Synurales","Synurales_X","Mallomonas","Mallomonas_tonsurata"
"ASVf677","Eukaryota","Stramenopiles","Ochrophyta","Chrysophyceae","Chrysophyceae_X","Order_Chrysophyceae_X","Order_Chrysophyceae_X","Order_Chrysophyceae_X"
"ASVf680","Eukaryota","Archaeplastida","Chlorophyta","Chlorophyceae","Sphaeropleales","Sphaeropleales_X","Pseudopediastrum","Pseudopediastrum_boryanum"
"ASVf697","Eukaryota","Alveolata","Dinoflagellata","Dinophyceae","Suessiales","Borghiellaceae","Borghiella","Borghiella_tenuissima"
"ASVf698","Eukaryota","Opisthokonta","Fungi","Fungi_X","Fungi_XX","Fungi_XXX","Fungi_XXXX","Fungi_XXXX_sp."
"ASVf702","Eukaryota","Alveolata","Dinoflagellata","Dinophyceae","Class_Dinophyceae","Class_Dinophyceae","Class_Dinophyceae","Class_Dinophyceae"
"ASVf735","Eukaryota","Hacrobia","Haptophyta","Prymnesiophyceae","Prymnesiales","Chrysochromulinaceae","Chrysochromulina","Chrysochromulina_parva"
